"Date","Incident/s","Incident Count","Tweet/s","Tweet Count"
"2017-12-01","[1299.0, 1302.0, 1304.0, 1306.0, 1308.0, 1311.0, 1411.0, 1431.0, 1432.0, 1470.0]","10","[936605473687695362, 936439628600459265]","2"
"2017-12-02","[690.0, 1300.0, 1313.0, 1314.0, 1317.0, 1349.0, 1390.0, 1391.0, 1428.0, 1429.0, 1430.0, 1433.0, 1434.0, 1454.0]","14","[936930444481662977]","1"
"2017-12-03","[1347.0, 1371.0, 1388.0, 1389.0, 1394.0, 1408.0, 1409.0, 1410.0, 1427.0, 1452.0, 1517.0, 1519.0]","12","[]","0"
"2017-12-04","[1303.0, 13162.0, 1363.0, 1364.0, 1365.0, 1366.0, 1367.0, 1445.0, 1453.0, 1510.0, 1512.0]","11","[937696260017963013, 937671625369112576, 937605817628610560]","3"
"2017-12-05","[1393.0, 1446.0, 1448.0, 1511.0]","4","[938114137183440896]","1"
"2017-12-06","[1322.0, 1325.0, 1327.0, 1338.0, 1392.0, 1449.0]","6","[938481422389653504, 938373410773614592, 938328359607635968]","3"
"2017-12-07","[1326.0, 1328.0, 1494.0, 1501.0, 1513.0, 1530.0, 1531.0]","7","[938747362297643008]","1"
"2017-12-08","[1358.0, 1360.0, 1426.0]","3","[939211484961366017]","1"
"2017-12-09","[1340.0, 1343.0, 1357.0, 1368.0, 1502.0, 1503.0, 1507.0, 1509.0]","8","[939532614158794752]","1"
"2017-12-10","[1382.0, 1383.0, 1384.0, 1385.0, 1469.0, 1471.0, 1472.0, 1476.0, 1506.0, 1523.0]","10","[939953143009251329, 939930849172246528]","2"
"2017-12-11","[1442.0, 1455.0, 1477.0]","3","[940319549773168640, 940246274984595458, 940225436839112709, 940059308640821250]","4"
"2017-12-12","[1337.0, 1339.0, 1341.0, 1381.0, 1398.0, 1423.0, 1424.0, 1468.0, 1473.0]","9","[940644817180037120, 940538762747977729, 940534303179415552]","3"
"2017-12-13","[1354.0, 1413.0, 1475.0, 1504.0, 1520.0, 1529.0]","6","[940811041256157184]","1"
"2017-12-14","[1467.0, 1474.0, 1516.0]","3","[941451480879521792, 941350027884195840]","2"
"2017-12-15","[1372.0, 1387.0, 1419.0, 1495.0, 1527.0, 1528.0]","6","[]","0"
"2017-12-16","[1294.0, 1329.0, 1330.0, 1331.0, 1332.0, 1334.0, 1345.0, 1346.0, 1348.0, 1377.0, 1378.0, 1420.0, 1461.0, 1462.0, 1463.0, 1466.0, 1489.0, 1500.0]","18","[942022894774665218, 941944780992466944, 941918484287639552]","3"
